competition_key,season_label,fixtures_expected,mart_matches_cov,mart_events_cov,mart_lineups_cov,mart_fps_cov,mart_end_to_end_status
brasileirao_a,2021,380,0,0,0,0,NÃO INGESTADO
brasileirao_a,2022,380,0,0,0,0,NÃO INGESTADO
brasileirao_a,2023,380,0,0,0,0,NÃO INGESTADO
brasileirao_a,2024,380,380,380,61,61,PARCIAL
brasileirao_a,2025,380,0,0,0,0,NÃO INGESTADO
brasileirao_b,2021,380,0,0,0,0,NÃO INGESTADO
brasileirao_b,2022,378,0,0,0,0,NÃO INGESTADO
brasileirao_b,2023,379,0,0,0,0,NÃO INGESTADO
brasileirao_b,2024,378,0,0,0,0,NÃO INGESTADO
brasileirao_b,2025,379,0,0,0,0,NÃO INGESTADO
bundesliga,2020_21,306,0,0,0,0,NÃO INGESTADO
bundesliga,2021_22,306,0,0,0,0,NÃO INGESTADO
bundesliga,2022_23,306,0,0,0,0,NÃO INGESTADO
bundesliga,2023_24,306,0,0,0,0,NÃO INGESTADO
bundesliga,2024_25,305,0,0,0,0,NÃO INGESTADO
champions_league,2020_21,177,0,0,0,0,NÃO INGESTADO
champions_league,2021_22,218,0,0,0,0,NÃO INGESTADO
champions_league,2022_23,214,0,0,0,0,NÃO INGESTADO
champions_league,2023_24,214,0,0,0,0,NÃO INGESTADO
champions_league,2024_25,279,0,0,0,0,NÃO INGESTADO
copa_do_brasil,2021,122,0,0,0,0,NÃO INGESTADO
copa_do_brasil,2022,122,0,0,0,0,NÃO INGESTADO
copa_do_brasil,2023,122,0,0,0,0,NÃO INGESTADO
copa_do_brasil,2024,122,0,0,0,0,NÃO INGESTADO
copa_do_brasil,2025,122,0,0,0,0,NÃO INGESTADO
la_liga,2020_21,380,0,0,0,0,NÃO INGESTADO
la_liga,2021_22,380,0,0,0,0,NÃO INGESTADO
la_liga,2022_23,380,0,0,0,0,NÃO INGESTADO
la_liga,2023_24,380,0,0,0,0,NÃO INGESTADO
la_liga,2024_25,380,0,0,0,0,NÃO INGESTADO
libertadores,2021,155,0,0,0,0,NÃO INGESTADO
libertadores,2022,155,0,0,0,0,NÃO INGESTADO
libertadores,2023,155,0,0,0,0,NÃO INGESTADO
libertadores,2024,155,0,0,0,0,NÃO INGESTADO
libertadores,2025,154,0,0,0,0,NÃO INGESTADO
ligue_1,2020_21,380,0,0,0,0,NÃO INGESTADO
ligue_1,2021_22,380,0,0,0,0,NÃO INGESTADO
ligue_1,2022_23,380,0,0,0,0,NÃO INGESTADO
ligue_1,2023_24,306,0,0,0,0,NÃO INGESTADO
ligue_1,2024_25,306,0,0,0,0,NÃO INGESTADO
premier_league,2020_21,380,0,0,0,0,NÃO INGESTADO
premier_league,2021_22,380,0,0,0,0,NÃO INGESTADO
premier_league,2022_23,380,0,0,0,0,NÃO INGESTADO
premier_league,2023_24,380,0,0,0,0,NÃO INGESTADO
premier_league,2024_25,380,0,0,0,0,NÃO INGESTADO
serie_a_it,2020_21,380,0,0,0,0,NÃO INGESTADO
serie_a_it,2021_22,380,0,0,0,0,NÃO INGESTADO
serie_a_it,2022_23,381,0,0,0,0,NÃO INGESTADO
serie_a_it,2023_24,380,0,0,0,0,NÃO INGESTADO
serie_a_it,2024_25,380,0,0,0,0,NÃO INGESTADO
