competition_key,season_label,status_competition_season
brasileirao_a,2021,COMPLETO
brasileirao_a,2022,COMPLETO
brasileirao_a,2023,COMPLETO
brasileirao_a,2024,COMPLETO
brasileirao_a,2025,COMPLETO
brasileirao_b,2021,COMPLETO
brasileirao_b,2022,COMPLETO
brasileirao_b,2023,COMPLETO
brasileirao_b,2024,COMPLETO
brasileirao_b,2025,COMPLETO
bundesliga,2020_21,COMPLETO
bundesliga,2021_22,COMPLETO
bundesliga,2022_23,COMPLETO
bundesliga,2023_24,COMPLETO
bundesliga,2024_25,COMPLETO
champions_league,2020_21,COMPLETO
champions_league,2021_22,COMPLETO
champions_league,2022_23,COMPLETO
champions_league,2023_24,COMPLETO
champions_league,2024_25,COMPLETO
copa_do_brasil,2021,COMPLETO
copa_do_brasil,2022,COMPLETO
copa_do_brasil,2023,COMPLETO
copa_do_brasil,2024,COMPLETO
copa_do_brasil,2025,COMPLETO
la_liga,2020_21,COMPLETO
la_liga,2021_22,COMPLETO
la_liga,2022_23,COMPLETO
la_liga,2023_24,COMPLETO
la_liga,2024_25,COMPLETO
libertadores,2021,COMPLETO
libertadores,2022,COMPLETO
libertadores,2023,COMPLETO
libertadores,2024,COMPLETO
libertadores,2025,COMPLETO
ligue_1,2020_21,COMPLETO
ligue_1,2021_22,COMPLETO
ligue_1,2022_23,COMPLETO
ligue_1,2023_24,COMPLETO
ligue_1,2024_25,COMPLETO
premier_league,2020_21,COMPLETO
premier_league,2021_22,COMPLETO
premier_league,2022_23,COMPLETO
premier_league,2023_24,COMPLETO
premier_league,2024_25,COMPLETO
serie_a_it,2020_21,COMPLETO
serie_a_it,2021_22,COMPLETO
serie_a_it,2022_23,COMPLETO
serie_a_it,2023_24,COMPLETO
serie_a_it,2024_25,COMPLETO
