competition_key,season_label,league_id,provider_season_id,stage_rows,round_rows,standings_rows,fixtures_rows,status_stages,status_rounds,status_standings,status_fixtures
brasileirao_a,2021,648,18215,1,38,20,380,COMPLETO,COMPLETO,COMPLETO,COMPLETO
brasileirao_a,2022,648,19434,1,38,20,380,COMPLETO,COMPLETO,COMPLETO,COMPLETO
brasileirao_a,2023,648,21207,1,38,20,380,COMPLETO,COMPLETO,COMPLETO,COMPLETO
brasileirao_a,2024,648,23265,1,38,20,380,COMPLETO,COMPLETO,COMPLETO,COMPLETO
brasileirao_a,2025,648,25184,1,38,20,380,COMPLETO,COMPLETO,COMPLETO,COMPLETO
brasileirao_b,2021,651,18217,1,38,20,380,COMPLETO,COMPLETO,COMPLETO,COMPLETO
brasileirao_b,2022,651,19438,1,38,20,378,COMPLETO,COMPLETO,COMPLETO,COMPLETO
brasileirao_b,2023,651,21210,1,38,20,379,COMPLETO,COMPLETO,COMPLETO,COMPLETO
brasileirao_b,2024,651,23291,1,38,20,378,COMPLETO,COMPLETO,COMPLETO,COMPLETO
brasileirao_b,2025,651,25185,1,38,20,379,COMPLETO,COMPLETO,COMPLETO,COMPLETO
bundesliga,2020_21,82,17361,1,34,18,306,COMPLETO,COMPLETO,COMPLETO,COMPLETO
bundesliga,2021_22,82,18444,1,34,18,306,COMPLETO,COMPLETO,COMPLETO,COMPLETO
bundesliga,2022_23,82,19744,1,34,18,306,COMPLETO,COMPLETO,COMPLETO,COMPLETO
bundesliga,2023_24,82,21795,1,34,18,306,COMPLETO,COMPLETO,COMPLETO,COMPLETO
bundesliga,2024_25,82,23744,1,34,18,306,COMPLETO,COMPLETO,COMPLETO,COMPLETO
champions_league,2020_21,2,17299,11,6,32,178,COMPLETO,COMPLETO,COMPLETO,COMPLETO
champions_league,2021_22,2,18346,11,6,32,218,COMPLETO,COMPLETO,COMPLETO,COMPLETO
champions_league,2022_23,2,19699,11,6,32,214,COMPLETO,COMPLETO,COMPLETO,COMPLETO
champions_league,2023_24,2,21638,11,6,32,214,COMPLETO,COMPLETO,COMPLETO,COMPLETO
champions_league,2024_25,2,23619,10,8,36,279,COMPLETO,COMPLETO,COMPLETO,COMPLETO
copa_do_brasil,2021,654,18162,7,0,0,122,COMPLETO,NÃO APLICÁVEL,NÃO APLICÁVEL,COMPLETO
copa_do_brasil,2022,654,19380,7,0,0,122,COMPLETO,NÃO APLICÁVEL,NÃO APLICÁVEL,COMPLETO
copa_do_brasil,2023,654,21194,7,0,0,122,COMPLETO,NÃO APLICÁVEL,NÃO APLICÁVEL,COMPLETO
copa_do_brasil,2024,654,23161,7,0,0,122,COMPLETO,NÃO APLICÁVEL,NÃO APLICÁVEL,COMPLETO
copa_do_brasil,2025,654,25165,7,2,0,122,COMPLETO,COMPLETO,NÃO APLICÁVEL,COMPLETO
la_liga,2020_21,564,17480,1,38,20,380,COMPLETO,COMPLETO,COMPLETO,COMPLETO
la_liga,2021_22,564,18462,1,38,20,380,COMPLETO,COMPLETO,COMPLETO,COMPLETO
la_liga,2022_23,564,19799,1,38,20,380,COMPLETO,COMPLETO,COMPLETO,COMPLETO
la_liga,2023_24,564,21694,1,38,20,380,COMPLETO,COMPLETO,COMPLETO,COMPLETO
la_liga,2024_25,564,23621,1,38,20,380,COMPLETO,COMPLETO,COMPLETO,COMPLETO
libertadores,2021,1122,17961,8,6,32,155,COMPLETO,COMPLETO,COMPLETO,COMPLETO
libertadores,2022,1122,19284,8,6,32,155,COMPLETO,COMPLETO,COMPLETO,COMPLETO
libertadores,2023,1122,21019,8,6,32,155,COMPLETO,COMPLETO,COMPLETO,COMPLETO
libertadores,2024,1122,22969,8,6,32,155,COMPLETO,COMPLETO,COMPLETO,COMPLETO
libertadores,2025,1122,24957,8,7,32,155,COMPLETO,COMPLETO,COMPLETO,COMPLETO
ligue_1,2020_21,301,17160,1,38,20,380,COMPLETO,COMPLETO,COMPLETO,COMPLETO
ligue_1,2021_22,301,18441,1,38,20,380,COMPLETO,COMPLETO,COMPLETO,COMPLETO
ligue_1,2022_23,301,19745,1,38,20,380,COMPLETO,COMPLETO,COMPLETO,COMPLETO
ligue_1,2023_24,301,21779,1,34,18,306,COMPLETO,COMPLETO,COMPLETO,COMPLETO
ligue_1,2024_25,301,23643,1,34,18,306,COMPLETO,COMPLETO,COMPLETO,COMPLETO
premier_league,2020_21,8,17420,1,38,20,380,COMPLETO,COMPLETO,COMPLETO,COMPLETO
premier_league,2021_22,8,18378,1,38,20,380,COMPLETO,COMPLETO,COMPLETO,COMPLETO
premier_league,2022_23,8,19734,1,38,20,380,COMPLETO,COMPLETO,COMPLETO,COMPLETO
premier_league,2023_24,8,21646,1,38,20,380,COMPLETO,COMPLETO,COMPLETO,COMPLETO
premier_league,2024_25,8,23614,1,38,20,380,COMPLETO,COMPLETO,COMPLETO,COMPLETO
serie_a_it,2020_21,384,17488,1,38,20,380,COMPLETO,COMPLETO,COMPLETO,COMPLETO
serie_a_it,2021_22,384,18576,1,38,20,380,COMPLETO,COMPLETO,COMPLETO,COMPLETO
serie_a_it,2022_23,384,19806,2,38,20,381,COMPLETO,COMPLETO,COMPLETO,COMPLETO
serie_a_it,2023_24,384,21818,1,38,20,380,COMPLETO,COMPLETO,COMPLETO,COMPLETO
serie_a_it,2024_25,384,23746,1,38,20,380,COMPLETO,COMPLETO,COMPLETO,COMPLETO
